date,return_xm,ma_gap,rsi_14,vol_ratio,phone_pos,phone_neg,car_pos,car_neg,iot_pos,iot_neg,return_hsi
2025-04-29,-0.010055865921787754,0.06311660525377395,77.03927492447127,0.14547234801461717,1,0,0,0,1,0,0.0016500353579005367
2025-04-30,0.05417607223476306,0.07461620849696549,78.16091954022988,0.6117377174536418,0,0,0,0,1,0,0.0068768957222047344
2025-05-02,0.05995717344753748,0.090952183444925,77.71260997067448,1.2773668024270635,0,0,0,0,0,0,0.017412418521307815
2025-05-06,-0.02929292929292937,0.09930498291907165,70.58823529411762,1.4879691705017755,0,0,0,0,1,0,0.00701933507753183
2025-05-07,-0.027055150884495283,0.10217225832894208,63.40782122905027,1.5849045137570077,0,0,0,0,0,0,0.001343387618021774
2025-05-08,0.010695187165775444,0.11059317095909561,69.50146627565982,0.42464958115617485,0,0,0,0,0,0,0.00439179354773378
2025-05-09,0.00846560846560851,0.09926470588235312,70.20057306590257,0.5603095873984848,0,0,0,1,0,0,0.004032359686483966
2025-05-12,-0.01678908709338922,0.07479979553586635,73.79518072289156,0.7889690439229294,0,0,1,1,0,0,0.029932980245488183
2025-05-13,-0.043756670224119665,0.05434414190486953,64.93150684931504,1.415427602035725,0,0,0,1,1,0,-0.018741698451189892
2025-05-14,0.03571428571428581,0.046026044005388185,63.218390804597696,0.7982930666609194,0,0,1,1,0,1,0.02343371623719337
2025-05-15,-0.0053879310344827624,0.0362011173184357,55.369127516778526,0.8801420149466348,0,0,0,1,0,0,-0.006952870941125067
2025-05-16,0.019501625135427858,0.026124577070275712,56.39344262295081,0.7289396220479518,1,0,1,1,1,0,-0.0038978970906291543
2025-05-19,0.027630180658873682,0.023977122745270647,60.55045871559633,0.5532894287081558,1,0,1,1,0,0,-0.0005274779195288959
2025-05-20,0.04343329886246128,0.035733680894970976,65.57377049180329,0.6675523856140596,1,0,0,1,1,1,0.0149490040134026
2025-05-21,-0.009910802775024763,0.03919252657575439,65.39509536784742,0.8944762249304723,1,0,1,1,1,0,0.006638853618719409
2025-05-22,-0.021021021021021102,0.04305200341005974,56.4705882352941,1.5338051364223082,0,1,1,0,1,0,-0.01170054298207679
2025-05-23,-0.007157464212678932,0.04499151103565375,46.735395189003434,0.6356402218471184,1,0,1,1,1,0,0.002613346298772301
2025-05-26,-0.03192584963954681,0.037170390765646565,46.416382252559735,0.6974966558379515,1,1,1,1,1,1,-0.013238770685579215
2025-05-27,0.008510638297872353,0.021546261089987393,52.36363636363635,0.3215772598937647,1,0,1,0,1,1,0.00475470863587768
2025-05-28,-0.001054852320675037,0.007794396460922635,50.37593984962407,0.5204146393061139,1,1,1,0,1,1,-0.004120811934458346
2025-05-29,0.0031678986272438703,-0.0014696619777451246,49.425287356321846,0.3434197326365397,0,1,1,0,1,1,0.01360460690298737
2025-05-30,-0.020000000000000018,-0.009711795894797448,48.863636363636346,0.35182485241043043,0,1,0,0,1,1,-0.0119441315065838
2025-06-02,0.02148227712137496,-0.005365597054182063,61.31687242798353,0.09742555587565147,0,1,1,0,0,0,-0.005566112916079224
2025-06-03,0.024185068349106276,-0.000578247384744705,59.829059829059844,0.6378737541528239,0,1,1,0,0,0,0.015324678526956959
2025-06-04,0.0030800821355236874,0.003514293207448138,61.63793103448276,0.44173901473572164,1,1,1,0,1,0,0.0062292056244990235
2025-06-05,0.013306038894575156,0.009523809523809637,60.79295154185022,0.3790176897644773,0,1,1,1,0,0,0.010848709377677457
2025-06-06,-0.02020202020202022,0.01678255868667333,50.6787330316742,0.21495426883518987,1,1,1,1,0,1,-0.0035455912900221875
